# L TT EE BB TE PP
2.00000000e+00 1.36825044e-10 4.15680093e-15 2.47271029e-19 3.52879469e-13 5.01780236e-08
3.00000000e+00 1.29638676e-10 5.34223260e-15 4.94605764e-19 3.95778889e-13 6.10489105e-08
4.00000000e+00 1.22723635e-10 4.64318727e-15 8.24483994e-19 3.71331463e-13 7.03259917e-08
5.00000000e+00 1.17569645e-10 3.10877294e-15 1.23698923e-18 3.16384738e-13 7.83706727e-08
6.00000000e+00 1.14061088e-10 1.74363731e-15 1.73222463e-18 2.54970478e-13 8.53916656e-08
7.00000000e+00 1.11842704e-10 9.42400680e-16 2.31031220e-18 2.00396588e-13 9.15734838e-08
8.00000000e+00 1.10521988e-10 6.05818302e-16 2.97139187e-18 1.58511486e-13 9.70441101e-08
9.00000000e+00 1.09916563e-10 4.84903723e-16 3.71562034e-18 1.30058217e-13 1.01913050e-07
1.00000000e+01 1.09832516e-10 4.13846954e-16 4.54316997e-18 1.13979017e-13 1.06250050e-07
1.10000000e+01 1.10084410e-10 3.49431014e-16 5.45422736e-18 1.07933669e-13 1.10149150e-07
1.20000000e+01 1.10771429e-10 3.06636932e-16 6.44899195e-18 1.09345033e-13 1.13613444e-07
1.30000000e+01 1.11638110e-10 2.95468745e-16 7.52767452e-18 1.15028798e-13 1.16745082e-07
1.40000000e+01 1.12661714e-10 3.07834949e-16 8.69049551e-18 1.22156044e-13 1.19533687e-07
1.50000000e+01 1.13700620e-10 3.32774713e-16 9.93768343e-18 1.29735666e-13 1.22053145e-07
1.60000000e+01 1.14994062e-10 3.67502211e-16 1.12694731e-17 1.38001096e-13 1.24307234e-07
1.70000000e+01 1.16522244e-10 4.17782036e-16 1.26861037e-17 1.46584174e-13 1.26323177e-07
1.80000000e+01 1.18131840e-10 4.89547050e-16 1.41878174e-17 1.55282137e-13 1.28135548e-07
1.90000000e+01 1.19925382e-10 5.83278932e-16 1.57748573e-17 1.64524758e-13 1.29754451e-07
2.00000000e+01 1.21686122e-10 6.95923094e-16 1.74474653e-17 1.73647205e-13 1.31187821e-07
2.10000000e+01 1.23507337e-10 8.26559108e-16 1.92058812e-17 1.83289681e-13 1.32457224e-07
2.20000000e+01 1.25392214e-10 9.76621339e-16 2.10503401e-17 1.93514673e-13 1.33584215e-07
2.30000000e+01 1.27288552e-10 1.14509822e-15 2.29810712e-17 2.03935779e-13 1.34577572e-07
2.40000000e+01 1.29239366e-10 1.33164151e-15 2.49982961e-17 2.14060736e-13 1.35444080e-07
2.50000000e+01 1.31262907e-10 1.53684122e-15 2.71022271e-17 2.22822725e-13 1.36194923e-07
2.60000000e+01 1.33293372e-10 1.76233240e-15 2.92930662e-17 2.30704337e-13 1.36841837e-07
2.70000000e+01 1.35385478e-10 2.00967586e-15 3.15710033e-17 2.37831351e-13 1.37393783e-07
2.80000000e+01 1.37515999e-10 2.27814025e-15 3.39362150e-17 2.43582592e-13 1.37857529e-07
2.90000000e+01 1.39674395e-10 2.57118968e-15 3.63888639e-17 2.48641899e-13 1.38233136e-07
3.00000000e+01 1.41887191e-10 2.89258256e-15 3.89290974e-17 2.52121760e-13 1.38521693e-07
3.10000000e+01 1.44073485e-10 3.24182898e-15 4.15570467e-17 2.55504266e-13 1.38734395e-07
3.20000000e+01 1.46342305e-10 3.62114736e-15 4.42728266e-17 2.58140268e-13 1.38883031e-07
3.30000000e+01 1.48622831e-10 4.02529771e-15 4.70765345e-17 2.59846048e-13 1.38971475e-07
3.40000000e+01 1.50912251e-10 4.45788133e-15 4.99682502e-17 2.60775357e-13 1.39002162e-07
3.50000000e+01 1.53287644e-10 4.91992318e-15 5.29480361e-17 2.59681364e-13 1.38978970e-07
3.60000000e+01 1.55626586e-10 5.41515017e-15 5.60159363e-17 2.57919482e-13 1.38906108e-07
3.70000000e+01 1.57999739e-10 5.94596349e-15 5.91719778e-17 2.54663673e-13 1.38787234e-07
3.80000000e+01 1.60421632e-10 6.50987290e-15 6.24161699e-17 2.50141979e-13 1.38625609e-07
3.90000000e+01 1.62879159e-10 7.10598826e-15 6.57485049e-17 2.44302203e-13 1.38423437e-07
4.00000000e+01 1.65361556e-10 7.73417186e-15 6.91689590e-17 2.36884591e-13 1.38182641e-07
4.10000000e+01 1.67857334e-10 8.39467713e-15 7.26774928e-17 2.27714562e-13 1.37905322e-07
4.20000000e+01 1.70367103e-10 9.08925219e-15 7.62740518e-17 2.16949208e-13 1.37593804e-07
4.30000000e+01 1.72892748e-10 9.81999626e-15 7.99585682e-17 2.04774792e-13 1.37250472e-07
4.40000000e+01 1.75441153e-10 1.05887185e-14 8.37309615e-17 1.91161583e-13 1.36877748e-07
4.50000000e+01 1.78021203e-10 1.13968479e-14 8.75911397e-17 1.76038855e-13 1.36478146e-07
4.60000000e+01 1.80628550e-10 1.22452195e-14 9.15390009e-17 1.59384929e-13 1.36053900e-07
4.70000000e+01 1.83260910e-10 1.31338719e-14 9.55744347e-17 1.41124293e-13 1.35606830e-07
